YearMonth,avg_weekly_work_hours
2013-01,40.6
2013-02,40.8
2013-03,40.8
2013-04,40.8
2013-05,40.7
2013-06,40.8
2013-07,40.7
2013-08,40.9
2013-09,40.9
2013-10,40.9
2013-11,40.9
2013-12,41.0
2014-01,40.7
2014-02,40.7
2014-03,41.0
2014-04,40.9
2014-05,41.1
2014-06,41.1
2014-07,40.9
2014-08,41.0
2014-09,41.0
2014-10,41.0
2014-11,41.1
2014-12,41.0
2015-01,40.9
2015-02,40.9
2015-03,40.8
2015-04,40.8
2015-05,40.7
2015-06,40.6
2015-07,40.8
2015-08,40.9
2015-09,40.6
2015-10,40.7
2015-11,40.7
2015-12,40.6
2016-01,40.7
2016-02,40.7
2016-03,40.7
2016-04,40.7
2016-05,40.7
2016-06,40.7
2016-07,40.7
2016-08,40.7
2016-09,40.7
2016-10,40.8
2016-11,40.6
2016-12,40.7
2017-01,40.8
2017-02,40.7
2017-03,40.6
2017-04,40.8
2017-05,40.8
2017-06,40.9
2017-07,40.9
2017-08,40.8
2017-09,40.7
2017-10,41.0
2017-11,41.0
2017-12,40.8
2018-01,40.8
2018-02,41.0
2018-03,40.9
2018-04,41.1
2018-05,40.9
2018-06,41.0
2018-07,41.0
2018-08,40.9
2018-09,40.8
2018-10,40.8
2018-11,40.8
2018-12,40.9
2019-01,40.8
2019-02,40.6
2019-03,40.7
2019-04,40.6
2019-05,40.6
2019-06,40.7
2019-07,40.4
2019-08,40.5
2019-09,40.5
2019-10,40.3
2019-11,40.5
2019-12,40.5
2020-01,40.3
2020-02,40.5
2020-03,40.3
2020-04,38.0
2020-05,38.7
2020-06,39.1
2020-07,39.8
2020-08,40.1
2020-09,40.2
2020-10,40.5
2020-11,40.4
2020-12,40.2
2021-01,40.4
2021-02,40.2
2021-03,40.5
2021-04,40.5
2021-05,40.4
2021-06,40.3
2021-07,40.5
2021-08,40.4
2021-09,40.5
2021-10,40.3
2021-11,40.5
2021-12,40.5
2022-01,40.2
2022-02,40.6
2022-03,40.6
2022-04,40.4
2022-05,40.4
2022-06,40.3
2022-07,40.4
2022-08,40.3
2022-09,40.3
2022-10,40.4
2022-11,40.2
2022-12,40.2
2023-01,40.5
2023-02,40.3
2023-03,40.2
2023-04,40.1
2023-05,40.1
2023-06,40.0
2023-07,40.0
2023-08,40.0
2023-09,40.0
2023-10,40.0
2023-11,39.9
2023-12,39.9
2024-01,39.9
2024-02,40.0
2024-03,40.0
2024-04,40.1
2024-05,40.2
2024-06,40.2
2024-07,40.0
2024-08,40.0
2024-09,40.0
2024-10,39.9
2024-11,40.1
2024-12,40.1
