Quarter,Gross Output (Billion $)
2013Q1,5907.7
2013Q2,5890.7
2013Q3,5914.9
2013Q4,5997.8
2014Q1,5999.0
2014Q2,6033.7
2014Q3,6058.9
2014Q4,5903.7
2015Q1,5697.1
2015Q2,5715.0
2015Q3,5687.5
2015Q4,5540.3
2016Q1,5429.7
2016Q2,5470.0
2016Q3,5493.4
2016Q4,5541.4
2017Q1,5605.9
2017Q2,5592.4
2017Q3,5654.6
2017Q4,5853.4
2018Q1,5953.0
2018Q2,6036.6
2018Q3,6102.7
2018Q4,6081.4
2019Q1,5997.1
2019Q2,6018.0
2019Q3,5931.1
2019Q4,5819.3
2020Q1,5651.4
2020Q2,4877.6
2020Q3,5472.6
2020Q4,5642.5
2021Q1,5957.4
2021Q2,6174.3
2021Q3,6358.3
2021Q4,6662.9
2022Q1,6967.7
2022Q2,7246.2
2022Q3,7207.4
2022Q4,7225.6
2023Q1,7199.5
2023Q2,7173.4
2023Q3,7252.6
2023Q4,7218.3
2024Q1,7229.1
2024Q2,7283.1
2024Q3,7309.2
2024Q4,7309.7
