Quarter,Value (Billion $)
2013Q1,431.864094948
2013Q2,461.533525515
2013Q3,470.459368506
2013Q4,470.12659114
2014Q1,440.893236179
2014Q2,490.981590935
2014Q3,498.489055295
2014Q4,500.321472896
2015Q1,462.910232507
2015Q2,496.822892823
2015Q3,500.267754299
2015Q4,486.796061463
2016Q1,448.434456213
2016Q2,479.057719739
2016Q3,490.838583422
2016Q4,493.004469568
2017Q1,468.563536899
2017Q2,502.929698269
2017Q3,512.880463771
2017Q4,534.973406266
2018Q1,513.385469556
2018Q2,541.029107932
2018Q3,557.500970778
2018Q4,565.191768446
2019Q1,516.457361176
2019Q2,545.156549087
2019Q3,556.266183477
2019Q4,535.045124511
2020Q1,489.073432067
2020Q2,453.815713357
2020Q3,544.406517691
2020Q4,576.589921525
2021Q1,556.577467407
2021Q2,609.809301184
2021Q3,630.150485285
2021Q4,661.670339401
2022Q1,666.827989368
2022Q2,720.782105123
2022Q3,714.077375823
2022Q4,682.625285598
2023Q1,642.061811281
2023Q2,670.257006451
2023Q3,681.309574379
2023Q4,674.038668373
2024Q1,653.512205145
2024Q2,703.254339005
2024Q3,747.378789147
2024Q4,745.126738039
