YearMonth,job_opennings_thousands
2013-01,251.0
2013-02,276.0
2013-03,260.0
2013-04,257.0
2013-05,253.0
2013-06,223.0
2013-07,254.0
2013-08,286.0
2013-09,270.0
2013-10,302.0
2013-11,272.0
2013-12,265.0
2014-01,261.0
2014-02,279.0
2014-03,284.0
2014-04,288.0
2014-05,301.0
2014-06,320.0
2014-07,330.0
2014-08,327.0
2014-09,312.0
2014-10,301.0
2014-11,285.0
2014-12,281.0
2015-01,322.0
2015-02,301.0
2015-03,324.0
2015-04,334.0
2015-05,332.0
2015-06,294.0
2015-07,374.0
2015-08,320.0
2015-09,317.0
2015-10,321.0
2015-11,258.0
2015-12,305.0
2016-01,319.0
2016-02,316.0
2016-03,335.0
2016-04,402.0
2016-05,358.0
2016-06,375.0
2016-07,383.0
2016-08,331.0
2016-09,322.0
2016-10,299.0
2016-11,317.0
2016-12,338.0
2017-01,374.0
2017-02,360.0
2017-03,394.0
2017-04,381.0
2017-05,352.0
2017-06,404.0
2017-07,394.0
2017-08,425.0
2017-09,429.0
2017-10,423.0
2017-11,419.0
2017-12,382.0
2018-01,449.0
2018-02,430.0
2018-03,417.0
2018-04,443.0
2018-05,467.0
2018-06,472.0
2018-07,476.0
2018-08,507.0
2018-09,472.0
2018-10,502.0
2018-11,508.0
2018-12,446.0
2019-01,435.0
2019-02,447.0
2019-03,434.0
2019-04,452.0
2019-05,479.0
2019-06,480.0
2019-07,466.0
2019-08,447.0
2019-09,437.0
2019-10,398.0
2019-11,408.0
2019-12,359.0
2020-01,409.0
2020-02,384.0
2020-03,301.0
2020-04,294.0
2020-05,318.0
2020-06,350.0
2020-07,432.0
2020-08,481.0
2020-09,477.0
2020-10,538.0
2020-11,484.0
2020-12,452.0
2021-01,517.0
2021-02,572.0
2021-03,742.0
2021-04,822.0
2021-05,891.0
2021-06,913.0
2021-07,971.0
2021-08,888.0
2021-09,951.0
2021-10,962.0
2021-11,842.0
2021-12,778.0
2022-01,885.0
2022-02,798.0
2022-03,912.0
2022-04,987.0
2022-05,819.0
2022-06,872.0
2022-07,950.0
2022-08,855.0
2022-09,832.0
2022-10,750.0
2022-11,803.0
2022-12,673.0
2023-01,712.0
2023-02,652.0
2023-03,690.0
2023-04,637.0
2023-05,568.0
2023-06,579.0
2023-07,553.0
2023-08,592.0
2023-09,609.0
2023-10,571.0
2023-11,527.0
2023-12,546.0
2024-01,550.0
2024-02,550.0
2024-03,520.0
2024-04,483.0
2024-05,572.0
2024-06,464.0
2024-07,528.0
2024-08,474.0
2024-09,476.0
2024-10,463.0
2024-11,432.0
2024-12,398.0
2025-01,502.0
2025-02,482.0
