YearMonth,import_price_index
2013-01,117.6
2013-02,117.7
2013-03,117.6
2013-04,117.2
2013-05,116.5
2013-06,116.2
2013-07,115.9
2013-08,115.9
2013-09,115.9
2013-10,115.9
2013-11,115.8
2013-12,115.7
2014-01,116.0
2014-02,116.3
2014-03,116.5
2014-04,116.3
2014-05,116.6
2014-06,116.7
2014-07,116.5
2014-08,116.5
2014-09,116.2
2014-10,115.5
2014-11,114.9
2014-12,114.3
2015-01,112.8
2015-02,112.5
2015-03,112.3
2015-04,111.8
2015-05,112.0
2015-06,111.8
2015-07,111.4
2015-08,110.7
2015-09,110.2
2015-10,109.7
2015-11,109.5
2015-12,109.0
2016-01,108.3
2016-02,108.2
2016-03,108.1
2016-04,108.3
2016-05,108.9
2016-06,109.0
2016-07,109.1
2016-08,108.9
2016-09,108.9
2016-10,109.0
2016-11,109.0
2016-12,109.0
2017-01,109.3
2017-02,109.5
2017-03,109.8
2017-04,110.0
2017-05,109.9
2017-06,110.0
2017-07,109.8
2017-08,110.2
2017-09,110.7
2017-10,110.6
2017-11,111.0
2017-12,111.0
2018-01,111.4
2018-02,112.0
2018-03,112.0
2018-04,112.3
2018-05,112.6
2018-06,112.6
2018-07,112.5
2018-08,112.3
2018-09,112.2
2018-10,112.3
2018-11,112.0
2018-12,111.7
2019-01,111.4
2019-02,111.5
2019-03,111.6
2019-04,111.4
2019-05,111.4
2019-06,111.0
2019-07,111.1
2019-08,110.9
2019-09,110.9
2019-10,110.7
2019-11,110.5
2019-12,110.6
2020-01,110.8
2020-02,110.9
2020-03,110.4
2020-04,109.2
2020-05,109.3
2020-06,109.7
2020-07,110.2
2020-08,111.0
2020-09,111.3
2020-10,111.3
2020-11,111.3
2020-12,111.9
2021-01,113.0
2021-02,113.6
2021-03,114.8
2021-04,115.9
2021-05,117.3
2021-06,118.2
2021-07,118.2
2021-08,118.1
2021-09,118.2
2021-10,119.1
2021-11,119.9
2021-12,120.3
2022-01,121.9
2022-02,123.3
2022-03,125.5
2022-04,125.8
2022-05,126.0
2022-06,125.6
2022-07,125.2
2022-08,124.6
2022-09,123.9
2022-10,124.0
2022-11,123.1
2022-12,123.5
2023-01,123.0
2023-02,123.2
2023-03,122.6
2023-04,122.7
2023-05,122.5
2023-06,122.3
2023-07,122.0
2023-08,122.1
2023-09,122.0
2023-10,121.4
2023-11,121.2
2023-12,121.0
2024-01,121.8
2024-02,121.7
2024-03,122.2
2024-04,122.7
2024-05,123.0
2024-06,123.1
2024-07,122.9
2024-08,122.9
2024-09,123.0
2024-10,123.1
2024-11,123.3
2024-12,123.1
