YearMonth,all_employees_thousands
2013-01,11962.0
2013-02,11974.0
2013-03,11977.0
2013-04,11978.0
2013-05,11978.0
2013-06,11982.0
2013-07,11962.0
2013-08,11992.0
2013-09,12010.0
2013-10,12033.0
2013-11,12054.0
2013-12,12060.0
2014-01,12058.0
2014-02,12084.0
2014-03,12096.0
2014-04,12109.0
2014-05,12120.0
2014-06,12146.0
2014-07,12165.0
2014-08,12182.0
2014-09,12201.0
2014-10,12233.0
2014-11,12260.0
2014-12,12266.0
2015-01,12265.0
2015-02,12275.0
2015-03,12286.0
2015-04,12291.0
2015-05,12306.0
2015-06,12307.0
2015-07,12323.0
2015-08,12318.0
2015-09,12326.0
2015-10,12334.0
2015-11,12329.0
2015-12,12333.0
2016-01,12354.0
2016-02,12337.0
2016-03,12313.0
2016-04,12325.0
2016-05,12303.0
2016-06,12321.0
2016-07,12342.0
2016-08,12319.0
2016-09,12317.0
2016-10,12316.0
2016-11,12311.0
2016-12,12324.0
2017-01,12334.0
2017-02,12350.0
2017-03,12361.0
2017-04,12367.0
2017-05,12377.0
2017-06,12390.0
2017-07,12390.0
2017-08,12435.0
2017-09,12443.0
2017-10,12457.0
2017-11,12472.0
2017-12,12501.0
2018-01,12527.0
2018-02,12551.0
2018-03,12576.0
2018-04,12595.0
2018-05,12623.0
2018-06,12656.0
2018-07,12676.0
2018-08,12688.0
2018-09,12710.0
2018-10,12731.0
2018-11,12741.0
2018-12,12761.0
2019-01,12790.0
2019-02,12782.0
2019-03,12788.0
2019-04,12785.0
2019-05,12778.0
2019-06,12787.0
2019-07,12790.0
2019-08,12789.0
2019-09,12787.0
2019-10,12733.0
2019-11,12777.0
2019-12,12760.0
2020-01,12745.0
2020-02,12743.0
2020-03,12684.0
2020-04,11382.0
2020-05,11610.0
2020-06,11950.0
2020-07,11973.0
2020-08,11999.0
2020-09,12057.0
2020-10,12086.0
2020-11,12118.0
2020-12,12153.0
2021-01,12145.0
2021-02,12179.0
2021-03,12232.0
2021-04,12191.0
2021-05,12219.0
2021-06,12249.0
2021-07,12303.0
2021-08,12349.0
2021-09,12391.0
2021-10,12454.0
2021-11,12498.0
2021-12,12532.0
2022-01,12560.0
2022-02,12608.0
2022-03,12676.0
2022-04,12725.0
2022-05,12739.0
2022-06,12768.0
2022-07,12800.0
2022-08,12826.0
2022-09,12848.0
2022-10,12883.0
2022-11,12896.0
2022-12,12889.0
2023-01,12897.0
2023-02,12900.0
2023-03,12890.0
2023-04,12889.0
2023-05,12874.0
2023-06,12877.0
2023-07,12863.0
2023-08,12856.0
2023-09,12869.0
2023-10,12836.0
2023-11,12858.0
2023-12,12865.0
2024-01,12866.0
2024-02,12853.0
2024-03,12838.0
2024-04,12847.0
2024-05,12849.0
2024-06,12839.0
2024-07,12840.0
2024-08,12800.0
2024-09,12800.0
2024-10,12750.0
2024-11,12770.0
2024-12,12760.0
2025-01,12755.0
2025-02,12765.0
